task_id	dgp	n	ipw_transform	alpha	random_seed	strategy	test_thresh	learner	n_burn_in	reveal_batch_size	refit_batch_size	n_min	alpha_min	margin_width	substitute_t_test	train_ratio	binary	n_sims	task_label
47	KangSchaferRCT	500	True	0.05	999745294	Chiseling	0	random_forest_learner	0.01	5.0	25.0	2	0	0	True		False	50	chiseling
48	KangSchaferRCT	500	True	0.05	1958805693	Chiseling	0	random_forest_learner	0.01	5.0	25.0	2	0	0	True		False	50	chiseling
49	KangSchaferRCT	500	True	0.05	389151677	Chiseling	0	random_forest_learner	0.01	5.0	25.0	2	0	0	True		False	50	chiseling
50	KangSchaferRCT	500	True	0.05	3372305070	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
51	KangSchaferRCT	500	True	0.05	2655947709	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
52	KangSchaferRCT	500	True	0.05	857592370	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
53	KangSchaferRCT	500	True	0.05	1642661739	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
54	KangSchaferRCT	500	True	0.05	2208620086	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
55	KangSchaferRCT	500	True	0.05	4222944499	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
56	KangSchaferRCT	500	True	0.05	2544401215	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
57	KangSchaferRCT	500	True	0.05	2004731384	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
58	KangSchaferRCT	500	True	0.05	199502978	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
59	KangSchaferRCT	500	True	0.05	3693415908	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
60	KangSchaferRCT	500	True	0.05	2609385266	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
61	KangSchaferRCT	500	True	0.05	2921898630	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
62	KangSchaferRCT	500	True	0.05	732395540	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
63	KangSchaferRCT	500	True	0.05	1934879560	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
64	KangSchaferRCT	500	True	0.05	279394470	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
65	KangSchaferRCT	500	True	0.05	56972561	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
66	KangSchaferRCT	500	True	0.05	4075432323	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
67	KangSchaferRCT	500	True	0.05	4046725720	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
68	KangSchaferRCT	500	True	0.05	4147358011	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
69	KangSchaferRCT	500	True	0.05	2419304461	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
70	KangSchaferRCT	500	True	0.05	3472040177	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
71	KangSchaferRCT	500	True	0.05	1655351289	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
72	KangSchaferRCT	500	True	0.05	1308306184	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
73	KangSchaferRCT	500	True	0.05	68574553	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
74	KangSchaferRCT	500	True	0.05	419498548	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
75	KangSchaferRCT	500	True	0.05	991681409	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
76	KangSchaferRCT	500	True	0.05	2938758483	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
77	KangSchaferRCT	500	True	0.05	1035196507	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
78	KangSchaferRCT	500	True	0.05	1890440558	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
79	KangSchaferRCT	500	True	0.05	2934594491	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
80	KangSchaferRCT	500	True	0.05	524150214	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
81	KangSchaferRCT	500	True	0.05	2619915691	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
82	KangSchaferRCT	500	True	0.05	2126768636	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
83	KangSchaferRCT	500	True	0.05	3578544903	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
84	KangSchaferRCT	500	True	0.05	147697582	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
85	KangSchaferRCT	500	True	0.05	744595490	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
86	KangSchaferRCT	500	True	0.05	3905501389	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
87	KangSchaferRCT	500	True	0.05	1679592528	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
88	KangSchaferRCT	500	True	0.05	1111451555	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
89	KangSchaferRCT	500	True	0.05	782698033	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
90	KangSchaferRCT	500	True	0.05	2845511527	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
91	KangSchaferRCT	500	True	0.05	3244252547	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
92	KangSchaferRCT	500	True	0.05	1338788865	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
93	KangSchaferRCT	500	True	0.05	1826030589	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
94	KangSchaferRCT	500	True	0.05	2233675141	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
95	KangSchaferRCT	500	True	0.05	893102645	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
96	KangSchaferRCT	500	True	0.05	2348102761	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
97	KangSchaferRCT	500	True	0.05	2438254339	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
98	KangSchaferRCT	500	True	0.05	793943861	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
99	KangSchaferRCT	500	True	0.05	134489564	Chiseling	0	random_forest_learner	0.05	5.0	25.0	2	0	0	True		False	50	chiseling
100	KangSchaferRCT	500	True	0.05	4164334270	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
101	KangSchaferRCT	500	True	0.05	3617585553	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
102	KangSchaferRCT	500	True	0.05	3329170137	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
103	KangSchaferRCT	500	True	0.05	1931679275	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
104	KangSchaferRCT	500	True	0.05	4035117217	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
105	KangSchaferRCT	500	True	0.05	1697157321	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
106	KangSchaferRCT	500	True	0.05	3843254205	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
107	KangSchaferRCT	500	True	0.05	3979969507	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
108	KangSchaferRCT	500	True	0.05	2567960845	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
109	KangSchaferRCT	500	True	0.05	3123609438	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
110	KangSchaferRCT	500	True	0.05	3959419695	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
111	KangSchaferRCT	500	True	0.05	1402481934	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
112	KangSchaferRCT	500	True	0.05	380072391	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
113	KangSchaferRCT	500	True	0.05	2450038221	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
114	KangSchaferRCT	500	True	0.05	841739990	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
115	KangSchaferRCT	500	True	0.05	2236966139	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
116	KangSchaferRCT	500	True	0.05	194249720	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
117	KangSchaferRCT	500	True	0.05	4128202429	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
118	KangSchaferRCT	500	True	0.05	1397283111	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
119	KangSchaferRCT	500	True	0.05	3627245268	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
120	KangSchaferRCT	500	True	0.05	1669356239	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
121	KangSchaferRCT	500	True	0.05	3209715436	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
122	KangSchaferRCT	500	True	0.05	1165435217	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
123	KangSchaferRCT	500	True	0.05	2317960046	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
124	KangSchaferRCT	500	True	0.05	3559400500	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
125	KangSchaferRCT	500	True	0.05	2520077079	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
126	KangSchaferRCT	500	True	0.05	1532243865	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
127	KangSchaferRCT	500	True	0.05	4145739992	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
128	KangSchaferRCT	500	True	0.05	1206604539	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
129	KangSchaferRCT	500	True	0.05	2607192251	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
130	KangSchaferRCT	500	True	0.05	2330861947	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
131	KangSchaferRCT	500	True	0.05	1185407468	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
132	KangSchaferRCT	500	True	0.05	605264936	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
133	KangSchaferRCT	500	True	0.05	1272485020	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
134	KangSchaferRCT	500	True	0.05	3445409806	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
135	KangSchaferRCT	500	True	0.05	709816108	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
136	KangSchaferRCT	500	True	0.05	320192576	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
137	KangSchaferRCT	500	True	0.05	67157848	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
138	KangSchaferRCT	500	True	0.05	4238647110	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
139	KangSchaferRCT	500	True	0.05	1818495496	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
140	KangSchaferRCT	500	True	0.05	3316766039	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
141	KangSchaferRCT	500	True	0.05	1696003200	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
142	KangSchaferRCT	500	True	0.05	853477355	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
143	KangSchaferRCT	500	True	0.05	1260522119	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
144	KangSchaferRCT	500	True	0.05	23717335	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
145	KangSchaferRCT	500	True	0.05	60472382	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
146	KangSchaferRCT	500	True	0.05	3502380170	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
147	KangSchaferRCT	500	True	0.05	854021618	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
148	KangSchaferRCT	500	True	0.05	3035929168	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
149	KangSchaferRCT	500	True	0.05	3055190407	Chiseling	0	random_forest_learner	0.1	5.0	25.0	2	0	0	True		False	50	chiseling
150	KangSchaferRCT	500	True	0.05	3131061922	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
151	KangSchaferRCT	500	True	0.05	3393778082	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
152	KangSchaferRCT	500	True	0.05	3312580896	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
153	KangSchaferRCT	500	True	0.05	2602578298	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
154	KangSchaferRCT	500	True	0.05	318019332	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
155	KangSchaferRCT	500	True	0.05	3978431977	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
156	KangSchaferRCT	500	True	0.05	1539598566	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
157	KangSchaferRCT	500	True	0.05	2796354553	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
158	KangSchaferRCT	500	True	0.05	497653800	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
159	KangSchaferRCT	500	True	0.05	3929721883	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
160	KangSchaferRCT	500	True	0.05	3707000966	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
161	KangSchaferRCT	500	True	0.05	3650887880	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
162	KangSchaferRCT	500	True	0.05	2677045063	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
163	KangSchaferRCT	500	True	0.05	1930375947	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
164	KangSchaferRCT	500	True	0.05	1421196193	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
165	KangSchaferRCT	500	True	0.05	409783328	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
166	KangSchaferRCT	500	True	0.05	272981039	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
167	KangSchaferRCT	500	True	0.05	1592652278	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
168	KangSchaferRCT	500	True	0.05	1335658902	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
169	KangSchaferRCT	500	True	0.05	2872651325	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
170	KangSchaferRCT	500	True	0.05	1396651735	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
171	KangSchaferRCT	500	True	0.05	2860114724	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
172	KangSchaferRCT	500	True	0.05	3133634658	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
173	KangSchaferRCT	500	True	0.05	2539604651	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
174	KangSchaferRCT	500	True	0.05	2738288487	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
175	KangSchaferRCT	500	True	0.05	1179921109	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
176	KangSchaferRCT	500	True	0.05	3810549722	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
177	KangSchaferRCT	500	True	0.05	2410522146	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
178	KangSchaferRCT	500	True	0.05	2028147648	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
179	KangSchaferRCT	500	True	0.05	1644658402	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
180	KangSchaferRCT	500	True	0.05	513653348	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
181	KangSchaferRCT	500	True	0.05	4173471662	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
182	KangSchaferRCT	500	True	0.05	3063363021	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
183	KangSchaferRCT	500	True	0.05	3646057090	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
184	KangSchaferRCT	500	True	0.05	3267546880	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
185	KangSchaferRCT	500	True	0.05	3099804676	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
186	KangSchaferRCT	500	True	0.05	2410667225	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
187	KangSchaferRCT	500	True	0.05	1013547510	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
188	KangSchaferRCT	500	True	0.05	3311278846	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
189	KangSchaferRCT	500	True	0.05	1099805069	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
190	KangSchaferRCT	500	True	0.05	2120835942	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
191	KangSchaferRCT	500	True	0.05	173660954	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
192	KangSchaferRCT	500	True	0.05	2245120392	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
193	KangSchaferRCT	500	True	0.05	3052273870	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
194	KangSchaferRCT	500	True	0.05	1836274702	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
195	KangSchaferRCT	500	True	0.05	476272473	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
196	KangSchaferRCT	500	True	0.05	109174313	Chiseling	0	random_forest_learner	0.15	5.0	25.0	2	0	0	True		False	50	chiseling
