dgp	n	sigma	tau	alpha	test_thresh	learner	subgroup_size	strategy	bonf_strategy	n_burn_in	margin_width	train_ratio	n_min	reveal_batch_prop	refit_batch_prop	n_sims	task_id	random_seed
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	34	2253811733
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	35	30349564
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	36	1855189739
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	37	99052376
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	38	1250819632
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	39	2253890010
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	40	2627888186
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	41	1717389822
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	42	599121577
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	43	200427519
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	44	1254751707
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	45	4182248123
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	46	1573512143
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	47	999745294
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	48	1958805693
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	49	389151677
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	50	3372305070
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	51	2655947709
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	52	857592370
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	53	1642661739
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	54	2208620086
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	55	4222944499
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	56	2544401215
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	57	2004731384
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	58	199502978
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	59	3693415908
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	60	2609385266
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	61	2921898630
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	62	732395540
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	63	1934879560
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	64	279394470
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	65	56972561
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	66	4075432323
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	67	4046725720
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	68	4147358011
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	69	2419304461
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	70	3472040177
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	71	1655351289
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	72	1308306184
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	73	68574553
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	74	419498548
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	75	991681409
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	76	2938758483
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	77	1035196507
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	78	1890440558
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	79	2934594491
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	80	524150214
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	81	2619915691
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	82	2126768636
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	83	3578544903
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	84	147697582
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	85	744595490
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	86	3905501389
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	87	1679592528
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	88	1111451555
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	89	782698033
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	90	2845511527
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	91	3244252547
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	92	1338788865
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	93	1826030589
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	94	2233675141
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	95	893102645
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	96	2348102761
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	97	2438254339
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	98	793943861
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	1.0		30	0.01	0.05	50	99	134489564
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	100	4164334270
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	101	3617585553
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	102	3329170137
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	103	1931679275
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	104	4035117217
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	105	1697157321
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	106	3843254205
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	107	3979969507
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	108	2567960845
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	109	3123609438
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	110	3959419695
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	111	1402481934
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	112	380072391
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	113	2450038221
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	114	841739990
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	115	2236966139
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	116	194249720
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	117	4128202429
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	118	1397283111
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	119	3627245268
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	120	1669356239
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	121	3209715436
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	122	1165435217
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	123	2317960046
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	124	3559400500
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	125	2520077079
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	126	1532243865
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	127	4145739992
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	128	1206604539
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	129	2607192251
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	130	2330861947
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	131	1185407468
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	132	605264936
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	133	1272485020
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	134	3445409806
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	135	709816108
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	136	320192576
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	137	67157848
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	138	4238647110
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	139	1818495496
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	140	3316766039
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	141	1696003200
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	142	853477355
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	143	1260522119
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	144	23717335
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	145	60472382
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	146	3502380170
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	147	854021618
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	148	3035929168
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	0.0		30	0.01	0.05	50	149	3055190407
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	150	3131061922
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	151	3393778082
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	152	3312580896
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	153	2602578298
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	154	318019332
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	155	3978431977
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	156	1539598566
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	157	2796354553
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	158	497653800
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	159	3929721883
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	160	3707000966
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	161	3650887880
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	162	2677045063
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	163	1930375947
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	164	1421196193
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	165	409783328
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	166	272981039
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	167	1592652278
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	168	1335658902
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	169	2872651325
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	170	1396651735
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	171	2860114724
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	172	3133634658
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	173	2539604651
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	174	2738288487
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	175	1179921109
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	176	3810549722
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	177	2410522146
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	178	2028147648
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	179	1644658402
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	180	513653348
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	181	4173471662
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	182	3063363021
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	183	3646057090
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	184	3267546880
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	185	3099804676
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	186	2410667225
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	187	1013547510
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	188	3311278846
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	189	1099805069
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	190	2120835942
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	191	173660954
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	192	2245120392
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	193	3052273870
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	194	1836274702
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	195	476272473
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.2	1.0		30	0.01	0.05	50	196	109174313
