dgp	n	d	s	q	tau	tau0	alpha	test_thresh	learner	task_label	strategy	n_burn_in	margin_width	alpha_init	n_min	reveal_batch_prop	refit_batch_prop	n_sims	task_id	random_seed
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	18	3041148567
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	19	2795544706
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	20	88409749
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	21	242285876
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	22	4165731073
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	23	3100961111
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	24	3575313899
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	25	4031053213
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	26	911989541
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	27	3344769
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	28	780932287
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	29	4261516219
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	30	787716372
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	31	2652062880
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	32	1306710475
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	33	2627030329
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	34	2253811733
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	35	30349564
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	36	1855189739
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	37	99052376
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	38	1250819632
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	39	2253890010
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	40	2627888186
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	41	1717389822
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	42	599121577
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	43	200427519
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	44	1254751707
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	45	4182248123
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	46	1573512143
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	47	999745294
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	48	1958805693
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	49	389151677
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	50	3372305070
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	51	2655947709
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	52	857592370
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	53	1642661739
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	54	2208620086
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	55	4222944499
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	56	2544401215
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	57	2004731384
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	58	199502978
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	59	3693415908
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	60	2609385266
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	61	2921898630
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	62	732395540
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	63	1934879560
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	64	279394470
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	65	56972561
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	66	4075432323
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	67	4046725720
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	68	4147358011
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	69	2419304461
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	70	3472040177
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	71	1655351289
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	72	1308306184
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	73	68574553
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	74	419498548
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	75	991681409
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	76	2938758483
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	77	1035196507
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	78	1890440558
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	79	2934594491
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	80	524150214
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	81	2619915691
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	82	2126768636
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	83	3578544903
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	84	147697582
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	85	744595490
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	86	3905501389
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	87	1679592528
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	88	1111451555
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	89	782698033
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	90	2845511527
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	91	3244252547
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	92	1338788865
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	93	1826030589
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	94	2233675141
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	95	893102645
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	96	2348102761
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	97	2438254339
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	98	793943861
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	99	134489564
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	TTestStrategy				30	0.01	0.05	250	100	4164334270
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	TTestStrategy				30	0.01	0.05	250	101	3617585553
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	TTestStrategy				30	0.01	0.05	250	102	3329170137
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	TTestStrategy				30	0.01	0.05	250	103	1931679275
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	TTestStrategy				30	0.01	0.05	250	104	4035117217
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	TTestStrategy				30	0.01	0.05	250	105	1697157321
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	TTestStrategy				30	0.01	0.05	250	106	3843254205
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	TTestStrategy				30	0.01	0.05	250	107	3979969507
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	TTestStrategy				30	0.01	0.05	250	108	2567960845
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	TTestStrategy				30	0.01	0.05	250	109	3123609438
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	OracleStrategy				30	0.01	0.05	250	110	3959419695
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	OracleStrategy				30	0.01	0.05	250	111	1402481934
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	OracleStrategy				30	0.01	0.05	250	112	380072391
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	OracleStrategy				30	0.01	0.05	250	113	2450038221
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	OracleStrategy				30	0.01	0.05	250	114	841739990
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	OracleStrategy				30	0.01	0.05	250	115	2236966139
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	OracleStrategy				30	0.01	0.05	250	116	194249720
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	OracleStrategy				30	0.01	0.05	250	117	4128202429
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	OracleStrategy				30	0.01	0.05	250	118	1397283111
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	OracleStrategy				30	0.01	0.05	250	119	3627245268
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	OracleSimulStrategy				30	0.01	0.05	250	120	1669356239
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	OracleSimulStrategy				30	0.01	0.05	250	121	3209715436
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	OracleSimulStrategy				30	0.01	0.05	250	122	1165435217
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	OracleSimulStrategy				30	0.01	0.05	250	123	2317960046
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	OracleSimulStrategy				30	0.01	0.05	250	124	3559400500
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	OracleSimulStrategy				30	0.01	0.05	250	125	2520077079
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	OracleSimulStrategy				30	0.01	0.05	250	126	1532243865
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	OracleSimulStrategy				30	0.01	0.05	250	127	4145739992
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	OracleSimulStrategy				30	0.01	0.05	250	128	1206604539
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	OracleSimulStrategy				30	0.01	0.05	250	129	2607192251
NonNegRCT	1000	2	2	0.1473684210526316	0.6785714285714285	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	130	2330861947
NonNegRCT	1000	2	2	0.1473684210526316	0.6785714285714285	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	131	1185407468
NonNegRCT	1000	2	2	0.1473684210526316	0.6785714285714285	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	132	605264936
NonNegRCT	1000	2	2	0.1473684210526316	0.6785714285714285	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	133	1272485020
NonNegRCT	1000	2	2	0.1473684210526316	0.6785714285714285	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	134	3445409806
NonNegRCT	1000	2	2	0.1473684210526316	0.6785714285714285	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	135	709816108
NonNegRCT	1000	2	2	0.1473684210526316	0.6785714285714285	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	136	320192576
NonNegRCT	1000	2	2	0.1473684210526316	0.6785714285714285	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	137	67157848
NonNegRCT	1000	2	2	0.1473684210526316	0.6785714285714285	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	138	4238647110
NonNegRCT	1000	2	2	0.1473684210526316	0.6785714285714285	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	139	1818495496
NonNegRCT	1000	2	2	0.1473684210526316	0.6785714285714285	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	140	3316766039
NonNegRCT	1000	2	2	0.1473684210526316	0.6785714285714285	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	141	1696003200
NonNegRCT	1000	2	2	0.1473684210526316	0.6785714285714285	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	142	853477355
NonNegRCT	1000	2	2	0.1473684210526316	0.6785714285714285	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	143	1260522119
NonNegRCT	1000	2	2	0.1473684210526316	0.6785714285714285	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	144	23717335
NonNegRCT	1000	2	2	0.1473684210526316	0.6785714285714285	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	145	60472382
NonNegRCT	1000	2	2	0.1473684210526316	0.6785714285714285	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	146	3502380170
NonNegRCT	1000	2	2	0.1473684210526316	0.6785714285714285	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	147	854021618
