task_id	dgp	n	d	s_prog	s_effect	theta_prog	theta_effect	tau	ipw_transform	alpha	random_seed	strategy	test_thresh	learner	n_burn_in	n_min	margin_width	alpha_min	alpha_spending_fn	substitute_t_test	train_ratio	n_sims	task_label
47	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	999745294	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
48	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1958805693	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
49	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	389151677	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
50	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3372305070	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
51	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2655947709	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
52	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	857592370	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
53	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1642661739	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
54	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2208620086	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
55	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	4222944499	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
56	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2544401215	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
57	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2004731384	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
58	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	199502978	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
59	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3693415908	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
60	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2609385266	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
61	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2921898630	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
62	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	732395540	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
63	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1934879560	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
64	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	279394470	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
65	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	56972561	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
66	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	4075432323	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
67	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	4046725720	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
68	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	4147358011	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
69	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2419304461	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
70	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3472040177	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
71	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1655351289	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
72	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1308306184	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
73	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	68574553	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
74	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	419498548	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
75	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	991681409	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
76	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2938758483	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
77	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1035196507	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
78	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1890440558	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
79	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2934594491	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
80	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	524150214	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
81	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2619915691	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
82	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2126768636	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
83	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3578544903	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
84	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	147697582	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
85	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	744595490	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
86	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3905501389	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
87	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1679592528	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
88	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1111451555	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
89	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	782698033	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
90	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2845511527	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
91	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3244252547	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
92	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1338788865	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
93	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1826030589	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
94	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2233675141	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
95	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	893102645	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
96	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2348102761	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
97	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2438254339	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
98	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	793943861	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
99	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	134489564	Chiseling	0	linreg_learner	0.1	2	0	0	instantaneous	True		50	chiseling
100	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	4164334270	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
101	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3617585553	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
102	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3329170137	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
103	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1931679275	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
104	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	4035117217	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
105	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1697157321	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
106	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3843254205	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
107	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3979969507	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
108	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2567960845	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
109	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3123609438	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
110	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3959419695	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
111	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1402481934	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
112	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	380072391	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
113	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2450038221	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
114	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	841739990	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
115	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2236966139	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
116	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	194249720	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
117	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	4128202429	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
118	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1397283111	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
119	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3627245268	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
120	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1669356239	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
121	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3209715436	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
122	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1165435217	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
123	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2317960046	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
124	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3559400500	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
125	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2520077079	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
126	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1532243865	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
127	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	4145739992	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
128	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1206604539	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
129	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2607192251	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
130	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2330861947	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
131	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1185407468	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
132	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	605264936	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
133	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1272485020	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
134	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3445409806	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
135	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	709816108	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
136	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	320192576	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
137	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	67157848	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
138	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	4238647110	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
139	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1818495496	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
140	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3316766039	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
141	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1696003200	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
142	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	853477355	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
143	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1260522119	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
144	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	23717335	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
145	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	60472382	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
146	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3502380170	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
147	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	854021618	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
148	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3035929168	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
149	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3055190407	Chiseling	0	linreg_learner	0.15	2	0	0	instantaneous	True		50	chiseling
150	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3131061922	Chiseling	0	linreg_learner	0.2	2	0	0	instantaneous	True		50	chiseling
151	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3393778082	Chiseling	0	linreg_learner	0.2	2	0	0	instantaneous	True		50	chiseling
152	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3312580896	Chiseling	0	linreg_learner	0.2	2	0	0	instantaneous	True		50	chiseling
153	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2602578298	Chiseling	0	linreg_learner	0.2	2	0	0	instantaneous	True		50	chiseling
154	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	318019332	Chiseling	0	linreg_learner	0.2	2	0	0	instantaneous	True		50	chiseling
155	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3978431977	Chiseling	0	linreg_learner	0.2	2	0	0	instantaneous	True		50	chiseling
156	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1539598566	Chiseling	0	linreg_learner	0.2	2	0	0	instantaneous	True		50	chiseling
157	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2796354553	Chiseling	0	linreg_learner	0.2	2	0	0	instantaneous	True		50	chiseling
158	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	497653800	Chiseling	0	linreg_learner	0.2	2	0	0	instantaneous	True		50	chiseling
159	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3929721883	Chiseling	0	linreg_learner	0.2	2	0	0	instantaneous	True		50	chiseling
160	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3707000966	Chiseling	0	linreg_learner	0.2	2	0	0	instantaneous	True		50	chiseling
161	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3650887880	Chiseling	0	linreg_learner	0.2	2	0	0	instantaneous	True		50	chiseling
162	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2677045063	Chiseling	0	linreg_learner	0.2	2	0	0	instantaneous	True		50	chiseling
163	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1930375947	Chiseling	0	linreg_learner	0.2	2	0	0	instantaneous	True		50	chiseling
164	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1421196193	Chiseling	0	linreg_learner	0.2	2	0	0	instantaneous	True		50	chiseling
165	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	409783328	Chiseling	0	linreg_learner	0.2	2	0	0	instantaneous	True		50	chiseling
166	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	272981039	Chiseling	0	linreg_learner	0.2	2	0	0	instantaneous	True		50	chiseling
167	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1592652278	Chiseling	0	linreg_learner	0.2	2	0	0	instantaneous	True		50	chiseling
168	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1335658902	Chiseling	0	linreg_learner	0.2	2	0	0	instantaneous	True		50	chiseling
169	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2872651325	Chiseling	0	linreg_learner	0.2	2	0	0	instantaneous	True		50	chiseling
170	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1396651735	Chiseling	0	linreg_learner	0.2	2	0	0	instantaneous	True		50	chiseling
171	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2860114724	Chiseling	0	linreg_learner	0.2	2	0	0	instantaneous	True		50	chiseling
172	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3133634658	Chiseling	0	linreg_learner	0.2	2	0	0	instantaneous	True		50	chiseling
173	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2539604651	Chiseling	0	linreg_learner	0.2	2	0	0	instantaneous	True		50	chiseling
