dgp	n	d	s	rho	theta	tau	alpha	test_thresh	learner	subgroup_size	strategy	bonf_strategy	n_burn_in	margin_width	train_ratio	n_min	n_sims	task_id	random_seed
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.0		30	100	12	249467210
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.0		30	100	13	1972458954
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.0		30	100	14	3720198231
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.0		30	100	15	1433267572
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.0		30	100	16	2581769315
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.0		30	100	17	613608295
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.0		30	100	18	3041148567
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.0		30	100	19	2795544706
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.0		30	100	20	88409749
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.0		30	100	21	242285876
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.0		30	100	22	4165731073
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.0		30	100	23	3100961111
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.0		30	100	24	3575313899
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.5		30	100	25	4031053213
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.5		30	100	26	911989541
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.5		30	100	27	3344769
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.5		30	100	28	780932287
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.5		30	100	29	4261516219
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.5		30	100	30	787716372
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.5		30	100	31	2652062880
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.5		30	100	32	1306710475
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.5		30	100	33	2627030329
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.5		30	100	34	2253811733
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.5		30	100	35	30349564
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.5		30	100	36	1855189739
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.5		30	100	37	99052376
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.5		30	100	38	1250819632
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.5		30	100	39	2253890010
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.5		30	100	40	2627888186
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.5		30	100	41	1717389822
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.5		30	100	42	599121577
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.5		30	100	43	200427519
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.5		30	100	44	1254751707
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.5		30	100	45	4182248123
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.5		30	100	46	1573512143
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.5		30	100	47	999745294
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.5		30	100	48	1958805693
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.5		30	100	49	389151677
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	1.0		30	100	50	3372305070
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	1.0		30	100	51	2655947709
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	1.0		30	100	52	857592370
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	1.0		30	100	53	1642661739
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	1.0		30	100	54	2208620086
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	1.0		30	100	55	4222944499
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	1.0		30	100	56	2544401215
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	1.0		30	100	57	2004731384
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	1.0		30	100	58	199502978
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	1.0		30	100	59	3693415908
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	1.0		30	100	60	2609385266
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	1.0		30	100	61	2921898630
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	1.0		30	100	62	732395540
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	1.0		30	100	63	1934879560
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	1.0		30	100	64	279394470
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	1.0		30	100	65	56972561
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	1.0		30	100	66	4075432323
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	1.0		30	100	67	4046725720
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	1.0		30	100	68	4147358011
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	1.0		30	100	69	2419304461
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	1.0		30	100	70	3472040177
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	1.0		30	100	71	1655351289
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	1.0		30	100	72	1308306184
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	1.0		30	100	73	68574553
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	1.0		30	100	74	419498548
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.0		30	100	75	991681409
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.0		30	100	76	2938758483
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.0		30	100	77	1035196507
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.0		30	100	78	1890440558
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.0		30	100	79	2934594491
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.0		30	100	80	524150214
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.0		30	100	81	2619915691
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.0		30	100	82	2126768636
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.0		30	100	83	3578544903
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.0		30	100	84	147697582
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.0		30	100	85	744595490
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.0		30	100	86	3905501389
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.0		30	100	87	1679592528
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.0		30	100	88	1111451555
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.0		30	100	89	782698033
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.0		30	100	90	2845511527
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.0		30	100	91	3244252547
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.0		30	100	92	1338788865
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.0		30	100	93	1826030589
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.0		30	100	94	2233675141
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.0		30	100	95	893102645
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.0		30	100	96	2348102761
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.0		30	100	97	2438254339
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.0		30	100	98	793943861
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.0		30	100	99	134489564
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.5		30	100	100	4164334270
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.5		30	100	101	3617585553
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.5		30	100	102	3329170137
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.5		30	100	103	1931679275
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.5		30	100	104	4035117217
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.5		30	100	105	1697157321
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.5		30	100	106	3843254205
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.5		30	100	107	3979969507
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.5		30	100	108	2567960845
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.5		30	100	109	3123609438
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.5		30	100	110	3959419695
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.5		30	100	111	1402481934
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.5		30	100	112	380072391
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.5		30	100	113	2450038221
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.5		30	100	114	841739990
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.5		30	100	115	2236966139
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.5		30	100	116	194249720
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.5		30	100	117	4128202429
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.5		30	100	118	1397283111
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.5		30	100	119	3627245268
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.5		30	100	120	1669356239
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.5		30	100	121	3209715436
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.5		30	100	122	1165435217
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.5		30	100	123	2317960046
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	0.5		30	100	124	3559400500
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	1.0		30	100	125	2520077079
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	1.0		30	100	126	1532243865
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	1.0		30	100	127	4145739992
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	1.0		30	100	128	1206604539
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	1.0		30	100	129	2607192251
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	1.0		30	100	130	2330861947
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	1.0		30	100	131	1185407468
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	1.0		30	100	132	605264936
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	1.0		30	100	133	1272485020
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	1.0		30	100	134	3445409806
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	1.0		30	100	135	709816108
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	1.0		30	100	136	320192576
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	1.0		30	100	137	67157848
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	1.0		30	100	138	4238647110
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	1.0		30	100	139	1818495496
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	1.0		30	100	140	3316766039
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	1.0		30	100	141	1696003200
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	1.0		30	100	142	853477355
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	1.0		30	100	143	1260522119
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	1.0		30	100	144	23717335
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	1.0		30	100	145	60472382
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	1.0		30	100	146	3502380170
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	1.0		30	100	147	854021618
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	1.0		30	100	148	3035929168
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.2	1.0		30	100	149	3055190407
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.0		30	100	150	3131061922
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.0		30	100	151	3393778082
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.0		30	100	152	3312580896
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.0		30	100	153	2602578298
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.0		30	100	154	318019332
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.0		30	100	155	3978431977
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.0		30	100	156	1539598566
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.0		30	100	157	2796354553
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.0		30	100	158	497653800
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.0		30	100	159	3929721883
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.0		30	100	160	3707000966
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.0		30	100	161	3650887880
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.0		30	100	162	2677045063
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.0		30	100	163	1930375947
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.0		30	100	164	1421196193
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.0		30	100	165	409783328
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.0		30	100	166	272981039
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.0		30	100	167	1592652278
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.0		30	100	168	1335658902
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.0		30	100	169	2872651325
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.0		30	100	170	1396651735
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.0		30	100	171	2860114724
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.0		30	100	172	3133634658
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.0		30	100	173	2539604651
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.0		30	100	174	2738288487
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.5		30	100	175	1179921109
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.5		30	100	176	3810549722
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.5		30	100	177	2410522146
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.5		30	100	178	2028147648
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.3	0.5		30	100	179	1644658402
