dgp	benchtm_path	n	scenario	outcome_transform	alpha	test_thresh	learner	strategy	reveal_batch_prop	refit_batch_prop	train_ratio	n_burn_in	margin_width	reveal_batch_size	refit_batch_size	n_sims	task_id	random_seed
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.1					500	54	2208620086
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.2					500	55	4222944499
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.2					500	56	2544401215
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.2					500	57	2004731384
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.2					500	58	199502978
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.2					500	59	3693415908
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.3					500	60	2609385266
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.3					500	61	2921898630
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.3					500	62	732395540
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.3					500	63	1934879560
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.3					500	64	279394470
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.4					500	65	56972561
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.4					500	66	4075432323
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.4					500	67	4046725720
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.4					500	68	4147358011
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.4					500	69	2419304461
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.5					500	70	3472040177
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.5					500	71	1655351289
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.5					500	72	1308306184
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.5					500	73	68574553
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.5					500	74	419498548
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.6					500	75	991681409
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.6					500	76	2938758483
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.6					500	77	1035196507
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.6					500	78	1890440558
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.6					500	79	2934594491
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.7					500	80	524150214
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.7					500	81	2619915691
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.7					500	82	2126768636
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.7					500	83	3578544903
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.7					500	84	147697582
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.8					500	85	744595490
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.8					500	86	3905501389
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.8					500	87	1679592528
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.8					500	88	1111451555
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.8					500	89	782698033
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.9					500	90	2845511527
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.9					500	91	3244252547
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.9					500	92	1338788865
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.9					500	93	1826030589
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	DataSplittingStrategy			0.9					500	94	2233675141
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.1					500	95	893102645
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.1					500	96	2348102761
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.1					500	97	2438254339
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.1					500	98	793943861
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.1					500	99	134489564
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.2					500	100	4164334270
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.2					500	101	3617585553
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.2					500	102	3329170137
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.2					500	103	1931679275
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.2					500	104	4035117217
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.3					500	105	1697157321
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.3					500	106	3843254205
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.3					500	107	3979969507
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.3					500	108	2567960845
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.3					500	109	3123609438
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.4					500	110	3959419695
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.4					500	111	1402481934
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.4					500	112	380072391
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.4					500	113	2450038221
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.4					500	114	841739990
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.5					500	115	2236966139
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.5					500	116	194249720
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.5					500	117	4128202429
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.5					500	118	1397283111
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.5					500	119	3627245268
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.6					500	120	1669356239
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.6					500	121	3209715436
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.6					500	122	1165435217
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.6					500	123	2317960046
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.6					500	124	3559400500
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.7					500	125	2520077079
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.7					500	126	1532243865
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.7					500	127	4145739992
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	300	5	aipw_intercept_fair	0.05	0	causal_random_forest_learner	SimulDataSplittingStrategy			0.7					500	128	1206604539
