dgp	benchtm_path	n	scenario	outcome_transform	alpha	test_thresh	learner	strategy	bonf_strategy	n_burn_in	reveal_batch_prop	refit_batch_prop	margin_width	train_ratio	reveal_batch_size	refit_batch_size	n_sims	task_id	random_seed
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	14	3720198231
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	15	1433267572
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	16	2581769315
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	17	613608295
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	18	3041148567
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	19	2795544706
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	20	88409749
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	21	242285876
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	22	4165731073
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	23	3100961111
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	24	3575313899
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	25	4031053213
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	26	911989541
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	27	3344769
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	28	780932287
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	29	4261516219
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	30	787716372
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	31	2652062880
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	32	1306710475
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	33	2627030329
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	34	2253811733
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	35	30349564
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	36	1855189739
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	37	99052376
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	38	1250819632
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	39	2253890010
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	40	2627888186
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	41	1717389822
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	42	599121577
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	43	200427519
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	44	1254751707
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	45	4182248123
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	46	1573512143
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	47	999745294
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	48	1958805693
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	49	389151677
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	50	3372305070
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	51	2655947709
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	52	857592370
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	53	1642661739
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	54	2208620086
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	55	4222944499
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	56	2544401215
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	57	2004731384
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	58	199502978
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	59	3693415908
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	60	2609385266
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	61	2921898630
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	62	732395540
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	63	1934879560
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	64	279394470
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	65	56972561
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	66	4075432323
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	67	4046725720
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	68	4147358011
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	69	2419304461
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	70	3472040177
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	71	1655351289
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	72	1308306184
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	73	68574553
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	74	419498548
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	75	991681409
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	76	2938758483
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	77	1035196507
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	78	1890440558
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	79	2934594491
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	80	524150214
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	81	2619915691
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	82	2126768636
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	83	3578544903
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	84	147697582
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	85	744595490
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	86	3905501389
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	87	1679592528
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	88	1111451555
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	89	782698033
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	90	2845511527
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	91	3244252547
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	92	1338788865
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	93	1826030589
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	94	2233675141
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	95	893102645
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	96	2348102761
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	97	2438254339
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	98	793943861
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.5		5.0	25.0	50	99	134489564
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	1.0		5.0	25.0	50	100	4164334270
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	1.0		5.0	25.0	50	101	3617585553
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	1.0		5.0	25.0	50	102	3329170137
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	1.0		5.0	25.0	50	103	1931679275
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	1.0		5.0	25.0	50	104	4035117217
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	1.0		5.0	25.0	50	105	1697157321
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	1.0		5.0	25.0	50	106	3843254205
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	1.0		5.0	25.0	50	107	3979969507
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	1.0		5.0	25.0	50	108	2567960845
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	1.0		5.0	25.0	50	109	3123609438
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	1.0		5.0	25.0	50	110	3959419695
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	1.0		5.0	25.0	50	111	1402481934
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	1.0		5.0	25.0	50	112	380072391
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	1.0		5.0	25.0	50	113	2450038221
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	1.0		5.0	25.0	50	114	841739990
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	1.0		5.0	25.0	50	115	2236966139
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	1.0		5.0	25.0	50	116	194249720
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	1.0		5.0	25.0	50	117	4128202429
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	1.0		5.0	25.0	50	118	1397283111
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	1.0		5.0	25.0	50	119	3627245268
